input,required-output,baseline-output,finetune-output,Result Baseline,Result Finetuned,
"Question: Membership renewal rate by year since 2021

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Membership renewal rate by year since 2021, line chart with year on x-axis and renewal rate (%) on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Membership renewal rate over time', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Membership renewal rate by year since 2021, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: How many members have an expired membership?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: Gender breakdown of members who joined via referral

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Gender breakdown of members who joined via referral, bar chart with gender on x-axis and member count on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Gender breakdown of members who joined via referral, pie chart', 'notAnswerableReason': None}",Fail,Fail,
"Question: Dues paid vs overdue comparison by month 2024

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Dues paid vs overdue comparison by month for 2024, grouped bar chart with month on x-axis and count on y-axis', 'notAnswerableReason': None}",,"{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Dues paid vs overdue comparison by month 2024, bar chart', 'notAnswerableReason': None}",,Pass,
"Question: What is the most popular product type?

Available database schema:
Tables:
- dim_person (person_id, first_name, last_name, gender, age_at_join, join_date, state, city, county, zipcode, country, ethnicity, title, email, phone, join_source)
- fact_membership (membership_id, person_id, product_id, start_date, end_date, is_renewed, is_recurring, churn_reason, dues_paid_thru_date, membership_subscription_id, order_id)
- dim_product (product_id, product_name, product_type, price, category)
- dim_order (order_id, person_id, total_amount, order_date, payment_status, channel)
- dim_membership_status (status_id, status, description)
- dim_payment (payment_id, order_id, payment_method, amount, payment_date, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'What is the most popular product type, bar chart', 'notAnswerableReason': None}",Pass,Fail,
"Question: What is the total revenue for Q3 2024?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'What is the total revenue for Q3 2024, bar chart', 'notAnswerableReason': None}",Pass,Fail,
"Question: Monthly revenue trend for the last 12 months

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Monthly revenue trend for the last 12 months, line chart with month on x-axis and revenue on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Monthly revenue trend for the last 12 months', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Monthly revenue trend for the last 12 months, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Which product category has the highest return rate?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'product category comparison', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Fail,Pass,
"Question: Revenue breakdown by channel this year

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Revenue breakdown by channel this year, bar chart with channel on x-axis and total revenue on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'Revenue breakdown by channel this year', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'pie', 'chartDetails': 'Revenue breakdown by channel this year, pie chart', 'notAnswerableReason': None}",Fail,Fail,
"Question: How has average order value changed month over month?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Average order value change month over month, line chart with month on x-axis and average order value on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Average order value over time', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'How has average order value changed month over month, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: What is the most used payment method?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'What is the most used payment method, bar chart', 'notAnswerableReason': None}",Pass,Fail,
"Question: Show orders by state - top 10 states

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Order count by state for top 10 states, bar chart sorted by order count descending', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Show orders by state - top 10 states, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Revenue this year vs last year by month

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Revenue comparison this year vs last year by month, dual-series line chart with month on x-axis and revenue on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Revenue over time by month', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Revenue this year vs last year by month, bar chart', 'notAnswerableReason': None}",Fail,Fail,
"Question: What percentage of orders are returned?

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': False, 'requiresTextOutput': True, 'chartType': None, 'chartDetails': None, 'notAnswerableReason': None}",Pass,Pass,
"Question: Top 10 best-selling products by revenue

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Top 10 best-selling products by revenue, bar chart sorted by revenue descending', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'Top 10 best-selling products by revenue', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Top 10 best-selling products by revenue, bar chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Customer acquisition trend by month since 2022

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Customer acquisition trend by month since 2022, line chart with month on x-axis and new customer count on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'line', 'chartDetails': 'Customer acquisition trend by month since 2022', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'line', 'chartDetails': 'Customer acquisition trend by month since 2022, line chart', 'notAnswerableReason': None}",Fail,Pass,
"Question: Return rate by product category

Available database schema:
Tables:
- customers (customer_id, first_name, last_name, email, city, state, country, age, gender, signup_date, customer_segment)
- orders (order_id, customer_id, order_date, total_amount, status, channel, shipping_cost)
- order_items (item_id, order_id, product_id, quantity, unit_price, discount_pct)
- products (product_id, product_name, category, sub_category, brand, cost_price, selling_price, stock_qty)
- payments (payment_id, order_id, payment_method, amount, payment_date, status)
- returns (return_id, order_id, item_id, reason, return_date, refund_amount, status)","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Return rate by product category, bar chart with category on x-axis and return rate (%) on y-axis', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': True, 'chartType': 'bar', 'chartDetails': 'rate by product category', 'notAnswerableReason': None}","{'questionAnswerable': True, 'requiresChart': True, 'requiresTextOutput': False, 'chartType': 'bar', 'chartDetails': 'Return rate by product category, bar chart', 'notAnswerableReason': None}",Fail,Pass,
